sentiment,content,at
Negatif,pencariannya lama banget padahal banyak yg online,2025-02-28 23:45:49
Positif,slalu pakai maxim,2025-02-28 23:00:33
Positif,bagus pelayanan nya orangnya ramah,2025-02-28 22:55:05
Negatif,"nyari alamat susah banget, udah ku tulis sejelas jelasnya tetp nggak ada, padahal toko² di sekitarnya ada. kemarin mau ke seblak bestie yg ada di jaten ku cari nggak ada samsek alamatnya padahal alamat toko di dekatnya ada. udah coba pake alamat yang di salin dari google juga tetap nggak ada. semoga segera ada perbaikan",2025-02-28 22:52:00
Positif,asik lah pokoknya..jangan kapok ya bang,2025-02-28 22:50:23
Positif,sangat nyaman saat di perjalanan,2025-02-28 22:47:43
Positif,pelayanan yg bagus,2025-02-28 22:36:43
Positif,mas drivernya mantap👍🏻,2025-02-28 22:31:04
Negatif,sudah instal dan uninstall yang kesekian x nya...pesan maxim car selalu ditolak ma drivernya...padahal di map terlihat banyak driver terdekat.. harga juga tiba² berubah dari tarif awal tolong diperbaiki lg,2025-02-28 21:57:07
Positif,sangat luar biasa,2025-02-28 21:51:14
Positif,si bapak nya baik dan ramah,2025-02-28 21:50:05
Negatif,"masa penumpang di turunin tengah jalan malam"" tujuan masih jauhh 03:12 no pol motornya b 5583 tca",2025-02-28 20:19:34
Positif,sangat membantu,2025-02-28 19:10:09
Positif,keren tau jalan bener,2025-02-28 18:58:38
Negatif,kadang di map maxim gak ada tempat yg kita tuju,2025-02-28 18:12:01
Negatif,kecewa dengan maxim pesan food ga ada yg mau ambil,2025-02-28 17:55:11
Positif,"terimakasih,tetap jaga kesehatan,selamat berpuasa",2025-02-28 17:31:10
Positif,pelayanan baik,2025-02-28 17:30:08
Positif,best bgt abangnya baik,2025-02-28 17:21:28
Positif,"pelayan cepat sopan , semangat terus maxsim👍",2025-02-28 17:15:48
Negatif,mengecewakan order maxim food driver minta talangan sudah ditransfer makanan ngga dianter,2025-02-28 16:41:46
Positif,cepat .mantapb,2025-02-28 16:12:18
Positif,drivernya mantap & baik hati,2025-02-28 16:08:29
Negatif,"gak bagus apk ini,saya urgen milih maxim karna ngikutin biaya mobil gak ada yg mau ambil orderan walau di sekitar banyak driver aktif. gak bagus ni apk maxim,orng udah sekarat pun orderan gk ada yg nyangkutl",2025-02-28 16:03:59
Negatif,"kenapa banyak driver gak mengerti & gak hafal jalan & emang google maps tidak selamanya membantu & menyesatkan tapi paling tidak pihak maxim lebih memperketat lagi buat menyeleksi drivernya yang betul"" mengerti & hafal jalan kalau perlu di adakan sekolah mengemudi lagi buat drivernya biar ngerti jalan",2025-02-28 15:56:06
Positif,bisa dipesan tanpa harus berada dilokasi yang sama,2025-02-28 15:53:47
Positif,sangat puas sekali pokonya mantap lahh joss,2025-02-28 15:37:14
Positif,alhamdulillah..driver ramah ..selamat sampai rumah .. terimakasih 🙏,2025-02-28 15:30:08
Positif,ramah tepat waktu,2025-02-28 15:24:54
Positif,alhamdulillah selamat sampai tujuan,2025-02-28 15:22:09
Positif,driver nya ramah baik,2025-02-28 15:19:10
Positif,"bapaknya ramah sopan dan nyaman nyetirnya, ak bawa ank2 jg pada nyaman",2025-02-28 15:14:33
Positif,driver nya ramah asik,2025-02-28 15:07:29
Positif,"bapaknya baik ramah, helmnya nyaman dan wangi",2025-02-28 14:37:46
