sentiment,content
Negatif,pencariannya lama banget padahal banyak online
Positif,slalu pakai maxim
Positif,bagus pelayanan orangnya ramah
Negatif,mencari alamat susah banget ku tulis sejelas jelasnya tetp tidak ada padahal toko² sekitarnya ada kemarin mau seblak bestie ada jaten ku cari tidak ada sama sekali alamatnya padahal alamat toko dekatnya ada coba pakai alamat salin google juga tetap tidak ada semoga segera ada perbaikan
Positif,asik lah pokoknyajangan kapok iya bang
Positif,sangat nyaman perjalanan
Positif,pelayanan bagus
Positif,mas drivernya mantap
Negatif,instal uninstall kesekian x nyapesan maxim car selalu ditolak ma drivernyapadahal map terlihat banyak driver terdekat harga juga tiba² berubah tarif awal tolong diperbaiki
Positif,sangat luar biasa
Positif,si bapak baik ramah
Negatif,masa penumpang turunin tengah jalan malam tujuan jauhh no pol motornya b tca
Positif,sangat membantu
Positif,keren tahu jalan benar
Negatif,kadang map maxim gak ada tempat tuju
Negatif,kecewa maxim pesan food ga ada mau ambil
Positif,terimakasihtetap jaga kesehatanselamat berpuasa
Positif,pelayanan baik
Positif,best banget abangnya baik
Positif,pelayan cepat sopan semangat terus maxsim
Negatif,mengecewakan order maxim food driver minta talangan ditransfer makanan tidak dianter
Positif,cepat mantapb
Positif,drivernya mantap baik hati
Negatif,gak bagus apk inisaya urgen milih maxim ngikutin biaya mobil gak ada mau ambil orderan walau sekitar banyak driver aktif gak bagus apk maximorng sekarat pun orderan gk ada nyangkutl
Negatif,kenapa banyak driver gak mengerti gak hafal jalan emang google maps tidak selamanya membantu menyesatkan paling tidak pihak maxim lebih memperketat buat menyeleksi drivernya betul mengerti hafal jalan kalau perlu adakan sekolah mengemudi buat drivernya biar mengerti jalan
Positif,dipesan tanpa harus berada dilokasi sama
Positif,sangat puas sekali pokonya mantap lahh joss
Positif,alhamdulillahdriver ramah selamat sampai rumah terimakasih
Positif,ramah tepat waktu
Positif,alhamdulillah selamat sampai tujuan
Positif,driver ramah baik
Positif,bapaknya ramah sopan nyaman nyetirnya saya bawa anak juga nyaman
Positif,driver ramah asik
Positif,bapaknya baik ramah helmnya nyaman wangi
Negatif,tolong khusus kota sorong kabupaten sorong driver kalau makan istirahat tidak melayani konsumen hp aplikasi matikan tadi siang saya hampir driver motor minta batal kan nanti bahkan kira saya main main aplikasi sampai tadi siang saya ngk buka apk ulah sendiri saya mohon himbau kepada driver motor sampai saya marahi boss pelayanan maxim motor minta batalkan alasan ban bocor lah alasan makan lah
Positif,mbak rina baik komunikatif terima kasih mbak antar saya
Positif,layanan sangat baik terimakasih banyak
Positif,mantap driver pelayanannya
Negatif,maps bikin sakit lagibiar gampang cari titik
Positif,driver ramah ganteng
Positif,baik sekali abang
Positif,baik ramah
Positif,pelayanan sangat baik
Negatif,apk lambat pencarian lambat saya malah terlambat ngantor
Negatif,dahal iya bagus apk driver banyak nolak alasan hujan yakali mesen sepeda dahal mesen pakek mobil mengeluh
Negatif,pengemudi gampang mencancel orderan
Positif,pengiriman terbaik
Positif,alhamdulillah pelayann ny memuaskan terimakasih
Positif,perjalanan titikbapaknya sabar terimakasih
Positif,puas pelayanan
Positif,melayani cepat aman nyaman sampai tujuan
Positif,ramah sangat cepat
Positif,mantap sekali
Positif,bguss bgtmudah buat mesen kendaraan harga murah kualitas sangat bagussupirnya pun ramah ramah
Positif,pelayanan baik terimakasih
Positif,sikap driver sangat baik
Positif,bagus mempermudah bos
Positif,saya nyaman maxim
Positif,mas baik sekali
Negatif,gajelas tibalogout sendiri mencari driver lama bngt berkali gada driver
Positif,tepat waktu penjemputan
Positif,sangat puas cepat layanannya terimakasih
Positif,sangat mengayomi
Positif,pelayanan sangat baik
Negatif,lama banget mencari orang mau antar makanan disini
Positif,baik ramah
Positif,aman nyaman
Positif,semoga maxim selalu jaya pelayanan gercep good job
Positif,draipernya bagus sopan ramah tamah
Positif,sangat baik ramahh
Positif,pak terimakasih engge
Positif,terima kasih bang saya mau interviuw antar sampai tujuan
Positif,cepat sangat baik orang juga baikk
Positif,sangat membantu
Positif,driver maxim ramah baik respon cpt
Negatif,ongkos murah sayang gak login berkali kali saya ganti nomor tuk login gak masuk masuk kede verifikasi tolong perbaiki perbaiki saya kasi bintang
Positif,diharapkan
Positif,kerenn nuhun saudara laki-laki
Negatif,makanan pesan kebanyakan gak ada titik
Negatif,driver mobilnya sombongsombong semua kecuali dinaikin harganya baru mau kalau memang niatnya ga mau aplikasi ga perlu make maxim
Positif,orangnya asik
Positif,driver ok pisannn hatur nuhun
Positif,pelayanan sangat maximal terbaik
Positif,puas ramah
Negatif,apps ga jelasdrivernya ga niat kerjauda dikasih harga lebih bahkan tolak terusga niat kerja apa gimanadan buat devlopernya mohon appsnya mohon benahi kadang sering error tiba tiba
Positif,keren banget iya kak berubah menjadi pemenang semakin besar menjadi lebih baik tadi
Positif,semakin bagus
Positif,terbaik terima kasih
Negatif,kak tambah fitur send foto tidak buat kirim patokan lokasi soalnya bahkan suka kucing kucingan sama drivernya
Positif,mantap pelayanannya
Positif,tingkatkan terus pelayanan
Negatif,driver sering terlambat nyampenya bahkan sampai menit kadang juga nungguin setengah jam ehh tiba tiba cancel sama driver naik mobilnya juga drivernya gak ramah tas ditaruh didepan kursi penumpang gak mau dipindahin padahal kan mobil kan orang terus bayar gak aplikasi katanya aplikasi driver gitu padahal gak ada lewat tol bayar parkir ketika diberikan masukan aplikasinya ehh bahkan disalahin
Negatif,chat kirim driver tidak semuanya masuk terima driver
Positif,terimakasih pak bnyak membantuk sya
Positif,tingkatkan dalam segala hal terimakasih
Negatif,maxim mobil tegal driver tidak ada ramah
Positif,trmksh plnyanan ya sngt bgussemonga lancar rejekiy sehat dlm prjlanan
Negatif,maxsim susah skli dapatin agak lambat menerima penumpang butuh
Positif,mb baik banget salah titik jauj gk marah tetep lgsung gas maaf terima kasih mb
Positif,cepatpelayanan bagus terimakasih
Negatif,tolong perbaiki layanan maxim daerah kotabumi lampung utara pengemudi kurang baik customer bawa barang banyak supir gk suka customer perempuan barang bawaan banyak tidak dibantu nurunin barang mobil sangat buruk
Positif,trimakasih membantu perjalanan
Positif,baikramah sabar walaupun macet semagat pak
Positif,sangat ramahbaik
Positif,bagus pelayanannya
